id_cupons,pode_usar_outros_codigos,limite_custo,data_fim,cupom_codigo,entrega_free,valido_somente_novos_clientes,valor_minimo,data_inicio,status,tipo,quem_paga_cupom,dias_duracao,novos_clientes_adquiridos,qtde_uso,valor_total_uso,percentagem,valor_fixo,limite_uso_por_cpf,limite_uso
5f9dd4629edca400210011ca,False,20000.0,2020-11-17 03:00:00,FRIDAY60,True,False,60.0,2020-11-01 03:00:00,INACTIVE,FIXED_DISCOUNT,PLATFORM,-16.0,34.0,40.0,1007.3700000000002,20.0,30.0,1.0,1.0
5fa46012903a35002117a6ad,False,6000.0,2020-12-25 03:00:00,FRIDAY2060,True,False,60.0,2020-11-05 03:00:00,INACTIVE,FIXED_DISCOUNT,PLATFORM,-50.0,9.0,12.0,240.0,20.0,20.0,2.0,50.0
5fa9ad19ce7202002177907f,False,,2020-12-30 03:00:00,LOOVEM,False,False,70.0,2020-11-09 03:00:00,ACTIVE,PERCENT_DISCOUNT,PLATFORM,-51.0,3.0,11.53921568627451,163.46999999999997,15.0,30.0,1.0,300.0
5fad8b562929b600211a7614,False,2000.0,2021-04-30 03:00:00,#eliana,False,False,73.22154471544715,2021-04-19 03:00:00,ACTIVE,PERCENT_DISCOUNT,PLATFORM,-11.0,56.0,83.0,1140.03,15.0,30.0,2.0,1.0
5faed55f94d3250021fb0e50,False,12000.0,2020-11-25 03:00:00,VDB50,False,False,99.0,2020-11-13 03:00:00,INACTIVE,PERCENT_DISCOUNT,PLATFORM,-12.0,117.0,148.0,12236.470000000005,50.0,30.0,1.0,1.0
5fb596c8aaf0990021ab8488,False,12453.0,2020-12-31 03:00:00,VDB59,True,False,59.0,2020-11-18 03:00:00,ACTIVE,FIXED_DISCOUNT,PLATFORM,-43.0,3.0,11.53921568627451,163.46999999999997,20.0,30.0,1.0,1.0
5fb820ea2513e100219f51ad,False,15000.0,2020-12-01 03:00:00,BOLOWEEK,False,False,99.0,2020-11-20 03:00:00,INACTIVE,PERCENT_DISCOUNT,PLATFORM,-11.0,89.0,129.0,11266.850000000004,50.0,30.0,1.0,1.0
5fbd73835da74a0021e4fcf6,False,1000.0,2020-12-01 03:00:00,Influenciavdb,False,False,73.22154471544715,2020-11-24 03:00:00,ACTIVE,FIXED_DISCOUNT,PLATFORM,-7.0,3.0,4.0,800.0,20.0,200.0,1.0,5.0
5fbe9f765da74a0021ebc573,False,,2020-12-31 03:00:00,vivodebolo,False,False,73.22154471544715,2020-11-25 03:00:00,ACTIVE,PERCENT_DISCOUNT,PLATFORM,-36.0,3.0,1.0,14.99,15.0,30.0,1.0,20.0
5fc6663033284c00219cd211,False,500.0,2021-01-01 03:00:00,#queridos,False,False,69.0,2020-11-30 03:00:00,ACTIVE,PERCENT_DISCOUNT,PLATFORM,-32.0,3.0,11.53921568627451,163.46999999999997,15.0,30.0,1.0,10.0
5fcead571ad1840021989915,False,300.0,2021-01-04 03:00:00,#querofesta,False,False,73.22154471544715,2020-12-07 03:00:00,ACTIVE,PERCENT_DISCOUNT,PLATFORM,-28.0,3.0,11.53921568627451,163.46999999999997,15.0,30.0,1.0,100.0
5fcfd1c0c8d4e30021568df2,False,2000.0,2021-02-26 03:00:00,#Vem50,False,False,150.0,2020-12-08 03:00:00,ACTIVE,FIXED_DISCOUNT,PLATFORM,-80.0,5.0,14.0,550.0,20.0,50.0,1.0,1.0
5fd0d6bdc8d4e3002158068d,False,1000.0,2020-12-31 03:00:00,50doceria,False,False,150.0,2020-12-10 03:00:00,ACTIVE,FIXED_DISCOUNT,PLATFORM,-21.0,1.0,3.0,50.0,20.0,50.0,1.0,1.0
5fd77c6d5876570022448725,False,10000.0,2021-01-31 03:00:00,BOLOFESTAS,False,False,80.0,2020-12-14 03:00:00,ACTIVE,FIXED_DISCOUNT,PLATFORM,-48.0,11.0,18.0,360.0,20.0,20.0,1.0,1.0
5fd79bd7587657002244d034,False,3000.0,2021-02-28 03:00:00,primeira10,False,False,73.22154471544715,2020-12-13 03:00:00,ACTIVE,PERCENT_DISCOUNT,PLATFORM,-77.0,1.0,2.0,11.3,10.0,30.0,1.0,1.0
5fd7d2c55876570022457bd5,False,2000.0,2021-01-31 03:00:00,#consumidor15,False,False,73.22154471544715,2020-12-13 03:00:00,ACTIVE,PERCENT_DISCOUNT,PLATFORM,-49.0,16.0,24.0,293.07000000000005,15.0,30.0,1.0,1.0
5fdb9a9b2014fe00214d395b,False,,2020-12-31 03:00:00,#VDB15,False,False,73.22154471544715,2020-12-16 03:00:00,ACTIVE,PERCENT_DISCOUNT,PLATFORM,-15.0,2.0,2.0,32.7,15.0,30.0,1.0,10.0
5ff615f9d73d5200216e68ca,False,,2021-01-15 03:00:00,vemdebolofazofuturo,False,False,73.22154471544715,2021-01-11 03:00:00,ACTIVE,PERCENT_DISCOUNT,PLATFORM,-4.0,3.0,11.53921568627451,163.46999999999997,15.0,30.0,1.0,1.0
5ffddcc0a7af3c00219b3927,False,3000.0,2021-02-01 03:00:00,AGORASP,False,False,90.0,2021-01-11 03:00:00,ACTIVE,PERCENT_DISCOUNT,PLATFORM,-21.0,2.0,2.0,22.79,10.0,30.0,1.0,1.0
5ffde51ba7af3c00219b3f50,False,3000.0,2021-02-01 03:00:00,VEMSP,False,False,73.22154471544715,2021-01-11 03:00:00,ACTIVE,FIXED_DISCOUNT,PLATFORM,-21.0,5.0,6.0,60.0,20.0,10.0,1.0,1.0
60004580fc422f00214a8f2a,False,500.0,2021-01-16 03:00:00,#FERNANDO,False,False,300.0,2021-01-13 03:00:00,ACTIVE,PERCENT_DISCOUNT,PLATFORM,-3.0,3.0,11.53921568627451,163.46999999999997,50.0,399.0,1.0,1.0
6005efab52ef670021154daf,False,,2021-01-23 03:00:00,#CONV20,False,False,73.22154471544715,2021-01-18 20:28:45,ACTIVE,PERCENT_DISCOUNT,VENDOR,-4.0,3.0,1.0,39.76,20.0,30.0,1.0,1.0
60083c20657c0500211e96b9,False,,2021-02-14 03:00:00,FEEDBACKALL,False,False,73.22154471544715,2021-01-20 03:00:00,ACTIVE,PERCENT_DISCOUNT,PLATFORM,-25.0,3.0,11.53921568627451,163.46999999999997,15.0,30.0,1.0,70.0
60106b82a3ec3900215fccb6,False,,2021-01-27 03:00:00,#valter,False,False,73.22154471544715,2021-01-26 03:00:00,ACTIVE,FIXED_DISCOUNT,PLATFORM,-1.0,1.0,1.0,94.9,20.0,94.9,1.0,1.0
602ec9e39d4d490021deeaad,True,8000.0,2021-03-30 18:27:42,vemde21,True,False,50.0,2021-02-19 03:00:00,LIMIT_REACHED,PERCENT_DISCOUNT,PLATFORM,-39.0,81.0,170.0,5933.099999999999,21.0,30.0,4.0,1.0
